key;scientificName;decimalLatitude;decimalLongitude;issues;datasetKey;basisOfRecord;occurrenceStatus;acceptedScientificName;kingdom;phylum;family;genus;species;genericName;specificEpithet;taxonRank;taxonomicStatus;iucnRedListCategory;class
4875232702;Basiliscus basiliscus barbouri Ruthven, 1914;11,273478;-73,919255;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus barbouri Ruthven, 1914;Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SUBSPECIES;ACCEPTED;NA;Squamata
4901754676;Stenocercus erythrogaster (Hallowell, 1856);11,193135;-74,099098;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Stenocercus erythrogaster (Hallowell, 1856);Animalia;Chordata;Tropiduridae;Stenocercus;Stenocercus erythrogaster;Stenocercus;erythrogaster;SPECIES;ACCEPTED;LC;Squamata
4535741243;Iguana iguana (Linnaeus, 1758);11,051602;-74,206198;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4596904950;Basiliscus basiliscus barbouri Ruthven, 1914;11,141623;-74,119136;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Basiliscus basiliscus barbouri Ruthven, 1914;Animalia;Chordata;Corytophanidae;Basiliscus;Basiliscus basiliscus;Basiliscus;basiliscus;SUBSPECIES;ACCEPTED;NA;Squamata
4597187323;Porthidium lansbergii (Schlegel, 1841);11,054037;-74,213268;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Porthidium lansbergii (Schlegel, 1841);Animalia;Chordata;Viperidae;Porthidium;Porthidium lansbergii;Porthidium;lansbergii;SPECIES;ACCEPTED;LC;Squamata
4600070065;Imantodes cenchoa (Linnaeus, 1758);11,275255;-73,956734;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Imantodes cenchoa (Linnaeus, 1758);Animalia;Chordata;Colubridae;Imantodes;Imantodes cenchoa;Imantodes;cenchoa;SPECIES;ACCEPTED;LC;Squamata
4600157873;Anolis biporcatus (Wiegmann, 1834);11,202;-74,08663;cdc;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Anolis biporcatus (Wiegmann, 1834);Animalia;Chordata;Dactyloidae;Anolis;Anolis biporcatus;Anolis;biporcatus;SPECIES;ACCEPTED;LC;Squamata
4852077764;Dendrobates truncatus (Cope, 1861);11,28272;-74,02399;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Dendrobates truncatus (Cope, 1861);Animalia;Chordata;Dendrobatidae;Dendrobates;Dendrobates truncatus;Dendrobates;truncatus;SPECIES;ACCEPTED;LC;Amphibia
4901235425;Iguana iguana (Linnaeus, 1758);11,157661;-74,226171;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Iguana iguana (Linnaeus, 1758);Animalia;Chordata;Iguanidae;Iguana;Iguana iguana;Iguana;iguana;SPECIES;ACCEPTED;LC;Squamata
4919300714;Ameiva bifrontata Cope, 1862;11,296728;-74,150248;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Ameiva bifrontata Cope, 1862;Animalia;Chordata;Teiidae;Ameiva;Ameiva bifrontata;Ameiva;bifrontata;SPECIES;ACCEPTED;LC;Squamata
4607021446;Alouatta seniculus (Linnaeus, 1766);11,10413;-74,087855;cdc;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Alouatta seniculus (Linnaeus, 1766);Animalia;Chordata;Atelidae;Alouatta;Alouatta seniculus;Alouatta;seniculus;SPECIES;ACCEPTED;LC;Mammalia
4607422802;Bolitoglossa savagei Brame & Wake, 1963;11,05308;-74,149876;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Bolitoglossa savagei Brame & Wake, 1963;Animalia;Chordata;Plethodontidae;Bolitoglossa;Bolitoglossa savagei;Bolitoglossa;savagei;SPECIES;ACCEPTED;NT;Amphibia
4852744727;Mastigodryas boddaerti ruthveni (Stuart, 1933);11,100778;-74,071652;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Mastigodryas boddaerti ruthveni (Stuart, 1933);Animalia;Chordata;Colubridae;Mastigodryas;Mastigodryas boddaerti;Mastigodryas;boddaerti;SUBSPECIES;ACCEPTED;NA;Squamata
4851757003;Atractus sanctaemartae Dunn, 1946;11,100778;-74,071652;cdc,cdround;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Atractus sanctaemartae Dunn, 1946;Animalia;Chordata;Colubridae;Atractus;Atractus sanctaemartae;Atractus;sanctaemartae;SPECIES;ACCEPTED;LC;Squamata
4852858913;Strabomantidae;11,14165;-74,11642;cdc,cdround,txmathi;50c9509d-22c7-4a22-a47d-8c48425ef4a7;HUMAN_OBSERVATION;PRESENT;Craugastoridae;Animalia;Chordata;Craugastoridae;NA;NA;NA;NA;FAMILY;SYNONYM;NA;Amphibia
