"";"key";"scientificName";"decimalLatitude";"decimalLongitude";"datasetKey";"basisOfRecord";"occurrenceStatus";"acceptedScientificName";"kingdom";"phylum";"order";"family";"genus";"species";"taxonRank";"taxonomicStatus";"iucnRedListCategory";"continent";"stateProvince";"year"
"391";"3986160831";"Lasiurus blossevillii (Lesson & Garnot, 1826)";11,142179;-74,117538;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Lasiurus blossevillii (Lesson & Garnot, 1826)";"Animalia";"Chordata";"Chiroptera";"Vespertilionidae";"Lasiurus";"Lasiurus blossevillii";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"392";"4900950454";"Pecari tajacu (Linnaeus, 1758)";11,193453;-74,100089;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Pecari tajacu (Linnaeus, 1758)";"Animalia";"Chordata";"Artiodactyla";"Tayassuidae";"Pecari";"Pecari tajacu";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"393";"4442380557";"Sciurus granatensis Humboldt, 1811";11,150947;-74,103606;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"394";"4442534566";"Alouatta seniculus (Linnaeus, 1766)";11,2987;-73,936822;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"395";"4009794602";"Alouatta seniculus (Linnaeus, 1766)";11,277268;-73,923057;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"396";"3966386872";"Cebus malitiosus Elliot, 1909";11,35818;-73,94122;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";"SOUTH_AMERICA";"Magdalena";2022
"397";"4009744602";"Alouatta seniculus (Linnaeus, 1766)";11,102803;-74,119726;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"398";"3994078634";"Alouatta seniculus (Linnaeus, 1766)";11,306441;-74,065756;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"399";"3985803899";"Saguinus oedipus (Linnaeus, 1758)";11,341908;-73,972316;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Saguinus oedipus (Linnaeus, 1758)";"Animalia";"Chordata";"Primates";"Callitrichidae";"Saguinus";"Saguinus oedipus";"SPECIES";"ACCEPTED";"CR";"SOUTH_AMERICA";"Magdalena";2022
"400";"4006690605";"Sciurus granatensis Humboldt, 1811";11,100737;-74,071978;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"401";"3986276237";"Alouatta seniculus (Linnaeus, 1766)";11,106408;-74,088829;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Alouatta seniculus (Linnaeus, 1766)";"Animalia";"Chordata";"Primates";"Atelidae";"Alouatta";"Alouatta seniculus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"402";"3988502657";"Tamandua mexicana (Saussure, 1860)";11,307106;-73,931539;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Tamandua mexicana (Saussure, 1860)";"Animalia";"Chordata";"Pilosa";"Myrmecophagidae";"Tamandua";"Tamandua mexicana";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"403";"3988466691";"Cebus malitiosus Elliot, 1909";11,243678;-73,873113;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";"SOUTH_AMERICA";"Magdalena";2022
"404";"3994078979";"Didelphis marsupialis Linnaeus, 1758";11,268056;-74,106313;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Didelphis marsupialis Linnaeus, 1758";"Animalia";"Chordata";"Didelphimorphia";"Didelphidae";"Didelphis";"Didelphis marsupialis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"405";"4034629409";"Artibeus lituratus (Olfers, 1818)";11,257644;-74,104307;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Artibeus lituratus (Olfers, 1818)";"Animalia";"Chordata";"Chiroptera";"Phyllostomidae";"Artibeus";"Artibeus lituratus";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"406";"4011611638";"Marmosa robinsoni Bangs, 1898";11,264578;-74,107408;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Marmosa robinsoni Bangs, 1898";"Animalia";"Chordata";"Didelphimorphia";"Didelphidae";"Marmosa";"Marmosa robinsoni";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"407";"4076221047";"Sciurus granatensis Humboldt, 1811";11,101111;-74,0717;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
"408";"4851926901";"Cebus malitiosus Elliot, 1909";11,38118;-73,929407;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Cebus malitiosus Elliot, 1909";"Animalia";"Chordata";"Primates";"Cebidae";"Cebus";"Cebus malitiosus";"SPECIES";"ACCEPTED";"EN";NA;"Magdalena";2022
"409";"3994088976";"Sciurus granatensis Humboldt, 1811";11,106779;-74,054375;"50c9509d-22c7-4a22-a47d-8c48425ef4a7";"HUMAN_OBSERVATION";"PRESENT";"Sciurus granatensis Humboldt, 1811";"Animalia";"Chordata";"Rodentia";"Sciuridae";"Sciurus";"Sciurus granatensis";"SPECIES";"ACCEPTED";"LC";"SOUTH_AMERICA";"Magdalena";2022
