Voucher/obs,Especie,Pais,Estado,Municipio/localidad,Latitud,Longitud,Elevación (m s. n. m.),Fuente,
LACM 121846,Rhadinaea decorata,Mexico,Veracruz,Cuatlapan,8.713723,-79.952845,100,Gbif,
LACM 131126,Rhadinaea decorata,Costa Rica,Limon Province,,16.713889,-92.613889,538,Gbif,
LACM 131127,Rhadinaea decorata,Costa Rica,Limon Province,,16.915278,-93.458611,1487,Gbif,
LACM 154306,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.417585,-84.119038,60,Gbif,
LACM 154307,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,9.702667,-84.6494,60,Gbif,
LACM 154309,Rhadinaea decorata,Costa Rica,Limon Province,,16.75,-93.116667,39,Gbif,
LACM 154310,Rhadinaea decorata,Costa Rica,Puntarenas,Rincon de Osa,15.3825,-92.457222,30,Gbif,
LACM 154311,Rhadinaea decorata,Costa Rica,Limon Province,,16.126389,-91.730555,39,Gbif,
LACM 154312,Rhadinaea decorata,Costa Rica,Limon Province,,16.936111,-93.65,50,Gbif,
LACM 154313,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,9.617311,-84.04438,60,Gbif,
LACM 154314,Rhadinaea decorata,Costa Rica,Puntarenas,Rincon de Osa,15.483889,-92.487222,1050,Gbif,
LACM 154315,Rhadinaea decorata,Costa Rica,Heredia,La Selva,10.07555287,-83.89028777,127,Gbif,
LACM 154316,Rhadinaea decorata,Costa Rica,Cartago,El Silencio,10.43207,-84.10106,625,Gbif,
LACM 154317,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,9.411931,-83.699405,60,Gbif,
LACM 154318,Rhadinaea decorata,Costa Rica,Heredia,La Selva,8.7,-83.52,60,Gbif,
LACM 154319,Rhadinaea decorata,Costa Rica,Puntarenas,Rincon de Osa,17,-93.666667,175,Gbif,
LACM 154320,Rhadinaea decorata,Costa Rica,Heredia,La Selva,8.7,-83.4833,23,Gbif,
LACM 154321,Rhadinaea decorata,Costa Rica,Puntarenas,Rincon de Osa,16.636111,-93.655556,175,Gbif,
LACM 154322,Rhadinaea decorata,Costa Rica,Heredia,La Selva,9.081971887,-83.08139832,60,Gbif,
LACM 154323,Rhadinaea decorata,Costa Rica,Limon Province,,16.954722,-93.666944,36,Gbif,
LACM 154324,Rhadinaea decorata,Costa Rica,Heredia,La Selva,8.698668498,-83.48139934,14,Gbif,
LACM 154325,Rhadinaea decorata,Costa Rica,Cartago,El Silencio,10.4333,-83.9833,1200,Gbif,
LACM 154326,Rhadinaea decorata,Costa Rica,Heredia,La Selva,10.541667,-83.503333,15,Gbif,
LACM 154327,Rhadinaea decorata,Costa Rica,Alajuela,,10.322243,-84.020452,250,Gbif,
LACM 154328,Rhadinaea decorata,Costa Rica,Limon Province,Baja Talamanca,17.066667,-91.927778,49,Gbif,
LACM 154329,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.690159,-83.651702,60,Gbif,
LACM 154331,Rhadinaea decorata,Costa Rica,San Jose,Rio Claro,16.881944,-91.579167,1150,Gbif,
LACM 154332,Rhadinaea decorata,Costa Rica,Puntarenas,Rincon de Osa,16.988889,-93.493333,175,Gbif,
LACM 154333,Rhadinaea decorata,Costa Rica,Limon Province,La Lola,15.03,-85.72,36,Gbif,
LACM 154334,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.597984,-83.539467,60,Gbif,
LACM 162006,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,9.5667,-82.9333,19,Gbif,
LACM 59099,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,20.051389,-97.468056,610,Gbif,
LACM 65246,Rhadinaea decorata,Mexico,Oaxaca,,18.585,-95.075278,129,Gbif,
LACM 65247,Rhadinaea decorata,Mexico,Oaxaca,,18.584167,-95.075833,0,Gbif,
LSU 265,Rhadinaea decorata,Mexico,San luis potosi,Xilitla,9.255458,-82.145592,19,Gbif,
LSU 267,Rhadinaea decorata,Mexico,San luis potosi,Xilitla,9.254632,-82.145793,104,Gbif,
MCZ R-15304,Rhadinaea decorata,Costa Rica,Santa Cecilia,,17.002778,-93.481944,665,Gbif,
MCZ R-166544,Rhadinaea decorata,Ecuador,Pichincha,Puerto Quito,16.879461,-95.508957,122,Gbif,
MCZ R-19336,Rhadinaea decorata,Costa Rica,Limon Province,,16.920833,-93.452778,940,Gbif,
MCZ R-19337,Rhadinaea decorata,Costa Rica,Limon Province,,16.90173297,-90.96929135,2146,Gbif,
MCZ R-53899,Rhadinaea decorata,Mexico,Chiapas,Monte Libano,20.002778,-97.501389,27,Gbif,
MCZ R-56098,Rhadinaea decorata,Costa Rica,Cartago,Turrialba,10.28214,-84.04547,136,Gbif,
MCZ R-56099,Rhadinaea decorata,Costa Rica,Cartago,Turrialba,10.43333,-84,46,Gbif,
MCZ-HU 53899,Rhadinaea decorata,Mexico,Chiapas,Oconsigo,20.000833,-97.501667,548,Gbif,
MCZ-HU 56216,Rhadinaea decorata,Mexico,Hidalgo,La Mesa,21.244056,-97.836752,13,Gbif,
MHN-UCa-R-427,Rhadinaea decorata,Colombia,Caldas,SamanÃ¡,5.68159,-76.59784,50,Gbif,
MHUA-R 14029,Rhadinaea decorata,Colombia,Antioquia,Valdivia,5.3315,-74.921028,700,Gbif,
MHUA-R 14197,Rhadinaea decorata,Colombia,Antioquia,Puerto Nare,6.979196,-75.297235,230,Gbif,
MHUA-R 14199,Rhadinaea decorata,Colombia,Antioquia,Maceo,5.507056,-74.914222,513,Gbif,
MHUA-R 14330,Rhadinaea decorata,Colombia,Cordoba,Tierralta,9.877205241,-83.61663955,370,Gbif,
MHUA-R 14390,Rhadinaea decorata,Colombia,Cordoba,Tierralta,8.1736,-76.0592,346,Gbif,
MHUA-R 14430,Rhadinaea decorata,Colombia,Antioquia,Maceo,8.0667,-74.8167,515,Gbif,
MHUA-R 14432,Rhadinaea decorata,Colombia,Antioquia,Maceo,7.290241,-75.399015,515,Gbif,
MHUA-R 14480,Rhadinaea decorata,Colombia,Antioquia,YolombÃ³,6.5469,-74.6436,1052,Gbif,
MHUA-R 14551,Rhadinaea decorata,Colombia,Antioquia,Amalfi,6.6019,-75.0139,1436,Gbif,
MHUA-R 14552,Rhadinaea decorata,Colombia,Antioquia,Amalfi,6.9003,-75.1533,1436,Gbif,
MHUA-R 14644,Rhadinaea decorata,Colombia,Caldas,Victoria,5.686389,-76.633333,1030,Gbif,
MHUA-R 14859,Rhadinaea decorata,Colombia,Antioquia,San Carlos,6.2167,-74.86468,844,Gbif,
MLS 2076,Rhadinaea decorata,Colombia,Antioquia,Campamento,5.60111,-74.94915,806,Gbif,
MVZ 215673,Rhadinaea decorata,Costa Rica,Heredia,La Selva,10.416614,-84.119467,177,Gbif,
MVZ 215674,Rhadinaea decorata,Costa Rica,Heredia,La Selva,10.416868,-84.118952,153,Gbif,
MVZ 217619,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.415855,-84.119553,450,Gbif,
MVZ 217620,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.418312,-84.11862,450,Gbif,
MVZ 217621,Rhadinaea decorata,Costa Rica,Heredia,Puerto Viejo,10.417965,-84.116678,450,Gbif,
NHM 59099,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,20.052222,-97.468333,972,Gbif,
NMNH-SI 120955,Rhadinaea decorata,Mexico,Oaxaca,Camotlan,18.591944,-95.050833,219,Gbif,
NMNH-SI 46361,Rhadinaea decorata,Mexico,Oaxaca,Santo Domingo,18.311389,-94.708333,219,Gbif,
NMNH-SI 46527,Rhadinaea decorata,Mexico,Chiapas,Ocozocuatla de Espinoza,20.225,-98.008333,972,Gbif,
OBS.109305331,Rhadinaea decorata,Costa Rica,Sarapique,,16.906944,-93.272222,65,Gbif,
OBS.109305334,Rhadinaea decorata,Costa Rica,Sarapique,,16.602778,-91.454167,572,Gbif,
OBS.109305412,Rhadinaea decorata,Costa Rica,Sarapique,,17.51682868,-91.97322783,290,Gbif,
OBS.109305570,Rhadinaea decorata,Costa Rica,Sarapique,,16.998611,-93.486111,66,Gbif,
OBS.109305571,Rhadinaea decorata,Costa Rica,Sarapique,,16.86803783,-93.31025781,568,Gbif,
OBS.124097446,Rhadinaea decorata,Costa Rica,Sarapique,,17.889803,-96.516758,568,Gbif,
OBS.126053534,Rhadinaea decorata,Costa Rica,Sarapique,,20.091667,-98.241667,1072,Gbif,
OBS.82739771,Rhadinaea decorata,Costa Rica,Sarapique,,16.99935997,-93.48607234,766,Gbif,
SMF 92535,Rhadinaea decorata,Costa Rica,Punta Leona,,16.854167,-93.411111,692,Gbif,
TCWC-TAMU 19550,Rhadinaea decorata,Mexico,Chiapas,Oconsigo,19.940275,-97.289574,548,Gbif,
UCM 39967,Rhadinaea decorata,Mexico,Oaxaca,Heroica Ciudad de Juchitan de Zaragoza,18.590833,-95.088333,89,Gbif,
UCM 39969,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.488611,-95.060556,357,Gbif,
UCM 39971,Rhadinaea decorata,Mexico,Oaxaca,Matias Romero,18.583611,-95.089722,209,Gbif,
UCM 39980,Rhadinaea decorata,Mexico,Oaxaca,Matias Romero,18.575278,-95.08,439,Gbif,
UCM 40092,Rhadinaea decorata,Mexico,Oaxaca,Heroica Ciudad de Juchitan de Zaragoza,18.586667,-95.092222,209,Gbif,
UCM 41192,Rhadinaea decorata,Mexico,Oaxaca,San Felipe,18.909167,-96.868333,223,Gbif,
UCM 44511,Rhadinaea decorata,Mexico,Oaxaca,Matias Romero,18.561111,-95.525556,340,Gbif,
UCM 49352,Rhadinaea decorata,Mexico,Oaxaca,Heroica Ciudad de Juchitan de Zaragoza,18.220833,-94.838333,5,Gbif,
UCM:Herp:39967,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.908333,-96.775,394,Gbif,
UCM:Herp:39968,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.891667,-96.741667,55,Gbif,
UCM:Herp:39969,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.427778,-95.094167,618,Gbif,
UCM:Herp:39970,Rhadinaea decorata,Mexico,Oaxaca,Juchitan,18.861667,-96.891667,499,Gbif,
UCM:Herp:39971,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.388333,-94.94,198,Gbif,
UCM:Herp:39972,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.691667,-96.775,1170,Gbif,
UCM:Herp:39973,Rhadinaea decorata,Mexico,Oaxaca,Mije,18.875,-96.843333,358,Gbif,
